instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_FO|35004,35004.0,NIFTY24JUNFUT,,23568.1,2024-06-27,0.0,0.05,25.0,FUTIDX,FF,NSE_FO
NSE_FO|35006,35006.0,FINNIFTY24JULFUT,,22695.65,2024-07-30,0.0,0.05,25.0,FUTIDX,FF,NSE_FO
NSE_FO|35007,35007.0,NIFTY24JULFUT,,23688.55,2024-07-25,0.0,0.05,25.0,FUTIDX,FF,NSE_FO
NSE_FO|35020,35020.0,BANKNIFTY24JUNFUT,,50417.35,2024-06-26,0.0,0.05,15.0,FUTIDX,FF,NSE_FO
NSE_FO|35025,35025.0,MIDCPNIFTY24JUNFUT,,12113.45,2024-06-24,0.0,0.05,75.0,FUTIDX,FF,NSE_FO
NSE_FO|35073,35073.0,FINNIFTY24AUGFUT,,22798.55,2024-08-27,0.0,0.05,25.0,FUTIDX,FF,NSE_FO
NSE_FO|35078,35078.0,NIFTYNXT5024AUGFUT,,68200.0,2024-08-30,0.0,0.05,10.0,FUTIDX,FF,NSE_FO
NSE_FO|35080,35080.0,MIDCPNIFTY24JULFUT,,12108.95,2024-07-29,0.0,0.05,50.0,FUTIDX,FF,NSE_FO
NSE_FO|35089,35089.0,BANKNIFTY24AUGFUT,,50908.75,2024-08-28,0.0,0.05,15.0,FUTIDX,FF,NSE_FO
NSE_FO|35152,35152.0,FINNIFTY24JUNFUT,,22580.4,2024-06-25,0.0,0.05,40.0,FUTIDX,FF,NSE_FO
NSE_FO|35165,35165.0,BANKNIFTY24JULFUT,,50662.4,2024-07-31,0.0,0.05,15.0,FUTIDX,FF,NSE_FO
NSE_FO|35238,35238.0,NIFTYNXT5024JUNFUT,,72356.35,2024-06-28,0.0,0.05,10.0,FUTIDX,FF,NSE_FO
NSE_FO|35239,35239.0,NIFTYNXT5024JULFUT,,72732.25,2024-07-26,0.0,0.05,10.0,FUTIDX,FF,NSE_FO
NSE_FO|35415,35415.0,NIFTY24AUGFUT,,23807.9,2024-08-29,0.0,0.05,25.0,FUTIDX,FF,NSE_FO
NSE_FO|52882,52882.0,MIDCPNIFTY24AUGFUT,,12113.45,2024-08-26,0.0,0.05,50.0,FUTIDX,FF,NSE_FO
NSE_FO|35075,35075.0,FINNIFTY24JUN19550CE,,2539.8,2024-06-25,19550.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|35098,35098.0,MIDCPNIFTY24JUN12825CE,,,2024-06-24,12825.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|35099,35099.0,MIDCPNIFTY24JUN12825PE,,,2024-06-24,12825.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|35106,35106.0,FINNIFTY24JUN19550PE,,1.9,2024-06-25,19550.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|35107,35107.0,FINNIFTY24JUN19650CE,,2441.05,2024-06-25,19650.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|35108,35108.0,FINNIFTY24JUN19650PE,,2.6,2024-06-25,19650.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|35113,35113.0,FINNIFTY24JUN19750CE,,2342.55,2024-06-25,19750.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|35117,35117.0,FINNIFTY24JUN19750PE,,3.55,2024-06-25,19750.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|35119,35119.0,FINNIFTY24JUN19850CE,,2244.35,2024-06-25,19850.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|35128,35128.0,MIDCPNIFTY24JUL12825CE,,,2024-07-29,12825.0,0.05,50.0,OPTIDX,CE,NSE_FO
NSE_FO|35135,35135.0,MIDCPNIFTY24JUL12825PE,,,2024-07-29,12825.0,0.05,50.0,OPTIDX,PE,NSE_FO
NSE_FO|35234,35234.0,FINNIFTY24JUN19850PE,,4.85,2024-06-25,19850.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|35246,35246.0,FINNIFTY24JUN19950CE,,2146.55,2024-06-25,19950.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|35248,35248.0,FINNIFTY24JUN19950PE,,8.0,2024-06-25,19950.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|35256,35256.0,FINNIFTY24JUN20050CE,,2049.2,2024-06-25,20050.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|35259,35259.0,FINNIFTY24JUN20050PE,,8.6,2024-06-25,20050.0,0.05,40.0,OPTIDX,PE,NSE_FO
NSE_FO|35270,35270.0,FINNIFTY24JUN20150CE,,1952.4,2024-06-25,20150.0,0.05,40.0,OPTIDX,CE,NSE_FO
NSE_FO|35323,35323.0,MIDCPNIFTY24JUN12575CE,,2.5,2024-06-24,12575.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|35324,35324.0,MIDCPNIFTY24JUN12575PE,,1336.6,2024-06-24,12575.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|35325,35325.0,MIDCPNIFTY24JUN12625CE,,1.8,2024-06-24,12625.0,0.05,75.0,OPTIDX,CE,NSE_FO
NSE_FO|35328,35328.0,MIDCPNIFTY24JUN12625PE,,1383.25,2024-06-24,12625.0,0.05,75.0,OPTIDX,PE,NSE_FO
NSE_FO|35329,35329.0,MIDCPNIFTY24JUL12575CE,,74.4,2024-07-29,12575.0,0.05,50.0,OPTIDX,CE,NSE_FO
NSE_FO|35334,35334.0,MIDCPNIFTY24JUL12575PE,,1300.35,2024-07-29,12575.0,0.05,50.0,OPTIDX,PE,NSE_FO
NSE_FO|35335,35335.0,MIDCPNIFTY24JUL12625CE,,68.55,2024-07-29,12625.0,0.05,50.0,OPTIDX,CE,NSE_FO
NSE_FO|35363,35363.0,BANKNIFTY24JUN39500CE,,8046.95,2024-06-26,39500.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35364,35364.0,BANKNIFTY24JUN39500PE,,2.2,2024-06-26,39500.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35365,35365.0,BANKNIFTY24JUN40000CE,,10390.0,2024-06-26,40000.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35366,35366.0,BANKNIFTY24JUN40000PE,,2.05,2024-06-26,40000.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35398,35398.0,BANKNIFTY24JUN41000CE,,9300.0,2024-06-26,41000.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35434,35434.0,MIDCPNIFTY24JUL12625PE,,1343.65,2024-07-29,12625.0,0.05,50.0,OPTIDX,PE,NSE_FO
NSE_FO|35523,35523.0,BANKNIFTY24JUN53200CE,,7.0,2024-06-26,53200.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35535,35535.0,BANKNIFTY24JUN53200PE,,2788.05,2024-06-26,53200.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35536,35536.0,BANKNIFTY24JUN53300CE,,6.45,2024-06-26,53300.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35537,35537.0,BANKNIFTY24JUN53300PE,,2908.65,2024-06-26,53300.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35539,35539.0,BANKNIFTY24JUN53700CE,,5.45,2024-06-26,53700.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35540,35540.0,BANKNIFTY24JUN53700PE,,3291.8,2024-06-26,53700.0,0.05,15.0,OPTIDX,PE,NSE_FO
NSE_FO|35541,35541.0,BANKNIFTY24JUN53800CE,,5.25,2024-06-26,53800.0,0.05,15.0,OPTIDX,CE,NSE_FO
NSE_FO|35542,35542.0,BANKNIFTY24JUN53800PE,,3384.7,2024-06-26,53800.0,0.05,15.0,OPTIDX,PE,NSE_FO
